scenario,take_uid,tracked_object,camera,total_area_change,average_area
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles package_1,gp03,219321.0,79470.51
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles_0,aria01_214-1,786838.0,7998.23
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles_0,gp03,59855.0,599.39
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oil bottle_0,aria01_214-1,982580.0,12577.84
cooking,8acb2112-465c-4088-b502-65fd9704dd77,onion package_0,aria01_214-1,67328.0,6887.12
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oyster sauce bottle_0,aria01_214-1,662745.0,5500.12
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oyster sauce bottle_0,gp03,98748.0,5795.44
cooking,8acb2112-465c-4088-b502-65fd9704dd77,salt container _0,aria01_214-1,1556533.0,9894.9
cooking,8acb2112-465c-4088-b502-65fd9704dd77,salt container _0,gp02,299122.0,19618.3
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_0,aria01_214-1,1510794.0,15800.29
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_0,gp01,129540.0,4337.21
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_1,aria01_214-1,308897.0,20543.08
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_1,gp01,132168.0,4547.4
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white electric kettle_0,aria01_214-1,3325989.0,28311.05
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white electric kettle_0,gp02,1869046.0,47958.96
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white kitchen tongs_0,aria01_214-1,552471.0,3309.6
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,cucumber_0,aria01_214-1,12515.0,8546.8
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,green knife_0,aria01_214-1,63093.0,2526.18
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,green knife_0,cam01,31465.0,1399.34
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,white bowl_0,aria01_214-1,272924.0,20875.28
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,white bowl_0,cam01,190967.0,16401.74
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,wooden chopping board_0,aria01_214-1,414959.0,25021.73
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,wooden chopping board_0,cam01,165876.0,18245.73
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Chopping Board_0,aria01_214-1,2738028.0,42880.01
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Chopping Board_0,cam01,256974.0,224783.48
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Gas Lighter_0,aria01_214-1,193103.0,3486.88
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Gas Lighter_0,cam01,93113.0,22605.71
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Green Onion_0,aria01_214-1,110305.0,10118.74
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pasteurized Butter Pack_0,aria01_214-1,422243.0,11816.51
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pasteurized Butter Pack_0,cam01,5470.0,4668.5
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pizza Blend Pack_0,aria01_214-1,1069847.0,25627.74
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pizza Blend Pack_0,cam01,257975.0,72143.62
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Skillet_0,aria01_214-1,1906965.0,38221.26
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Skillet_0,cam01,2556850.0,84692.25
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Sliced Tomato_0,aria01_214-1,324788.0,4877.97
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Sliced Tomato_0,cam01,5865.0,6284.67
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Bowl_0,aria01_214-1,1197705.0,19575.45
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Bowl_0,cam01,370230.0,69538.31
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Flat Plate_0,aria01_214-1,970785.0,36281.11
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Flat Plate_0,cam01,965047.0,13986.78
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,bowl of milk_0,aria01_214-1,403596.0,33871.18
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,bowl of milk_0,cam01,698979.0,27293.76
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,cloth napkin_0,aria01_214-1,523365.0,22938.16
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,cloth napkin_0,cam01,392828.0,63901.27
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plastic container of sugar_0,aria01_214-1,395119.0,33137.31
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plastic container of sugar_0,cam01,627780.0,38922.77
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plate_0,aria01_214-1,144869.0,12905.18
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plate_0,cam01,69782.0,5097.28
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,saucepan_0,aria01_214-1,709416.0,34322.62
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,saucepan_0,cam01,511083.0,126776.9
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,chopping board_0,aria01_214-1,2506710.0,26562.99
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,egg carton_0,aria01_214-1,301297.0,21422.17
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,egg carton_0,gp03,92291.0,3743.09
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen knife_0,aria01_214-1,419359.0,3898.13
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen knife_0,gp02,184561.0,5637.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen paper_0,aria01_214-1,549204.0,11830.31
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen paper_0,gp03,377492.0,102459.82
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,leek package_0,aria01_214-1,668103.0,23771.41
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,leek package_0,gp01,68839.0,20063.79
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,nonstick frying pan_0,aria01_214-1,2250526.0,38294.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,nonstick frying pan_0,gp03,330022.0,9663.97
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,scrambled egg_0,aria01_214-1,28520.0,13802.83
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,scrambled egg_0,gp01,299.0,441.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,spaghetti tong_0,aria01_214-1,434095.0,6188.03
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,spaghetti_0,aria01_214-1,652582.0,17578.9
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,spaghetti_0,gp02,201029.0,4329.72
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,stainless steel fork_0,aria01_214-1,40023.0,1074.05
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,stainless steel fork_0,gp01,5025.0,435.83
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,white ceramic plate_0,aria01_214-1,313578.0,11028.87
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,white cereal bowl_0,aria01_214-1,80860.0,12494.17
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,wooden spatula_0,aria01_214-1,355230.0,3471.18
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,wooden spatula_0,gp02,378135.0,10423.05
health,04d87074-8116-4f09-b6e5-10670c9e772d,CPR dummy,aria02_214-1,4598408.0,98136.8
health,04d87074-8116-4f09-b6e5-10670c9e772d,CPR dummy,cam01,376724.0,261853.65
health,0827f0fc-4f33-4a6e-b7b3-89165585d79f,CPR dummy,aria02_214-1,4080345.0,102231.38
health,0827f0fc-4f33-4a6e-b7b3-89165585d79f,CPR dummy,cam01,187416.0,100015.9
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 antigen test package_0,aria02_214-1,573552.0,27302.45
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 antigen test package_0,cam01,340142.0,18848.47
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test card pack_0,aria02_214-1,785750.0,16463.55
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test card pack_0,cam01,269589.0,12793.3
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test nasal swab pack_0,aria02_214-1,543519.0,9736.93
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test nasal swab pack_0,cam01,159527.0,13109.62
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test nasal swab_0,aria02_214-1,44306.0,1767.26
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test nasal swab_0,cam01,26800.0,614.1
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test solution tube_0,aria02_214-1,162815.0,3292.96
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test solution tube_0,cam01,55073.0,2644.51
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,white table_0,aria02_214-1,7709466.0,757105.9
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,yellow scissor_0,aria02_214-1,285828.0,6264.42
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,yellow scissor_0,cam01,57524.0,21556.48
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Covid-19 Test Pack_0,aria01_214-1,446530.0,13987.28
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Covid-19 Test Pack_0,cam01,2525592.0,156918.89
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Disposable swab package_0,aria01_214-1,90693.0,3598.03
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Disposable swab package_0,cam01,346714.0,19253.57
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Solution Tube Package_0,aria01_214-1,58591.0,4208.34
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Solution Tube Package_0,cam01,64246.0,40865.4
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Test Device_0,aria01_214-1,56942.0,3171.95
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Test Device_0,cam01,137432.0,8840.36
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex rapid antigen test kit_0,aria01_214-1,2284718.0,37060.88
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex rapid antigen test kit_0,cam03,303725.0,44223.29
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex test kit instruction manual_0,aria01_214-1,327035.0,9648.39
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex test kit instruction manual_0,cam01,91546.0,2397.46
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex test kit instruction manual_1,aria01_214-1,5563642.0,91924.88
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex test kit instruction manual_1,cam03,453678.0,65563.9
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,digital timer_0,aria01_214-1,228453.0,4629.08
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,digital timer_0,cam03,28801.0,14987.99
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,sterile swab package_0,aria01_214-1,797762.0,10471.02
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,sterile swab package_0,cam03,130638.0,4129.94
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,test cassette package_0,aria01_214-1,452916.0,18820.35
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,test cassette package_0,cam01,219062.0,5981.56
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,test cassette package_1,aria01_214-1,92357.0,17245.64
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,test cassette package_1,cam03,15651.0,3632.62
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,test cassette package_2,aria01_214-1,57114.0,8505.78
health,77b1cae6-7e57-47f9-83ae-c68243792d36,CPR dummy,aria01_214-1,4588843.0,232272.67
health,77b1cae6-7e57-47f9-83ae-c68243792d36,CPR dummy,cam01,634003.0,98569.09
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_0,aria02_214-1,314242.0,7907.95
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_0,cam03,26462.0,3770.54
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_1,aria02_214-1,505338.0,10903.02
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_1,cam03,92234.0,6651.34
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_2,aria02_214-1,94033.0,2698.95
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_2,cam03,5053.0,3182.9
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab_0,aria02_214-1,33195.0,2223.34
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab_0,cam04,6072.0,286.23
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,rapid antigen test kit manual_0,aria02_214-1,3019414.0,124035.29
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,rapid antigen test kit manual_0,cam03,456863.0,97606.88
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,rapid antigen test kit_0,aria02_214-1,846345.0,30333.22
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,rapid antigen test kit_0,cam03,154162.0,40247.06
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,solution tube pack_0,aria02_214-1,399801.0,10946.05
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,solution tube pack_0,cam03,73488.0,7438.42
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_0,aria02_214-1,141688.0,4324.11
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_0,cam03,20428.0,3901.42
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_1,aria02_214-1,102901.0,2681.47
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_1,cam03,27433.0,3586.86
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_2,aria02_214-1,88740.0,1771.75
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_2,cam03,28474.0,3251.65
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_3,aria02_214-1,284574.0,8774.14
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_3,cam03,25514.0,2425.51
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette_0,aria02_214-1,53199.0,7115.14
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette_0,cam03,12663.0,1783.46
health,c4c0e97d-135b-4dec-b736-e184442bd42e,buffer tube with package_0,aria01_214-1,114932.0,20558.71
health,c4c0e97d-135b-4dec-b736-e184442bd42e,buffer tube with package_0,cam03,29299.0,7963.24
health,c4c0e97d-135b-4dec-b736-e184442bd42e,covid-19 rapid antigen test kit _0,aria01_214-1,282788.0,74351.88
health,c4c0e97d-135b-4dec-b736-e184442bd42e,instruction manual_0,aria01_214-1,8246034.0,251885.41
health,c4c0e97d-135b-4dec-b736-e184442bd42e,instruction manual_0,cam02,1107497.0,90520.3
health,c4c0e97d-135b-4dec-b736-e184442bd42e,sterile swab _0,aria01_214-1,13105.0,677.68
health,c4c0e97d-135b-4dec-b736-e184442bd42e,sterile swab _0,cam02,7510.0,379.4
health,c4c0e97d-135b-4dec-b736-e184442bd42e,sterile swab pack_0,aria01_214-1,886316.0,17137.82
health,c4c0e97d-135b-4dec-b736-e184442bd42e,sterile swab pack_0,cam02,226001.0,13559.44
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette _0,aria01_214-1,28997.0,7549.22
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette _0,cam02,4758.0,1654.67
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette pack_0,aria01_214-1,403929.0,11316.45
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette pack_0,cam02,84087.0,25809.23
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette pack_1,aria01_214-1,1041985.0,32701.04
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette pack_1,cam02,191469.0,16748.52
health,dc1600e9-dd79-4700-882a-9f53cdd29d20,CPR dummy,aria01_214-1,2811921.0,161815.23
health,dc1600e9-dd79-4700-882a-9f53cdd29d20,CPR dummy,cam01,687211.0,118660.99
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,covid 19 test package_0,aria01_214-1,93397.0,27955.31
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,covid 19 test package_0,cam02,627754.0,43538.38
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,extraction buffer tube package_0,aria01_214-1,332653.0,11521.8
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,extraction buffer tube package_0,cam02,101429.0,26475.91
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,extraction buffer tube_0,aria01_214-1,124315.0,2341.13
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,extraction buffer tube_0,cam03,26013.0,993.42
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,instruction manual_0,aria01_214-1,4445719.0,76812.92
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,sterile swab package pack_0,aria01_214-1,913690.0,18520.76
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,sterile swab package pack_0,cam03,95651.0,8400.12
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,sterile swab package_0,aria01_214-1,119946.0,7399.39
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,sterile swab package_0,cam03,40337.0,5889.82
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,test device package_0,aria01_214-1,255261.0,13112.28
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,test device package_0,cam03,39265.0,2650.82
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,test device_0,aria01_214-1,86025.0,2205.24
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,test device_0,cam03,1508.0,818.47
music,2bb3f8db-a6b0-49b8-8c0f-686774acf00a,sheet music,aria01_214-1,1804394.0,151673.05
music,2bb3f8db-a6b0-49b8-8c0f-686774acf00a,sheet music,gp02,1563.0,17683.84
music,2bb3f8db-a6b0-49b8-8c0f-686774acf00a,violin,gp03,98944.0,91210.12
music,2bb3f8db-a6b0-49b8-8c0f-686774acf00a,violin bow,gp01,130950.0,16777.23
music,2f6dc326-3689-4190-a8f8-674a5e6d688b,piano,aria01_214-1,2434307.0,317824.85
music,2f6dc326-3689-4190-a8f8-674a5e6d688b,piano,gp01,1050125.0,650424.79
music,2fe390a8-1506-4420-9008-74199f92797b,guitar,aria01_214-1,5062549.0,94809.32
music,2fe390a8-1506-4420-9008-74199f92797b,guitar,gp03,109437.0,223751.64
music,2fe390a8-1506-4420-9008-74199f92797b,sheet music,aria01_214-1,3559724.0,136806.83
music,2fe390a8-1506-4420-9008-74199f92797b,sheet music,gp03,4239.0,30825.61
music,2fe390a8-1506-4420-9008-74199f92797b,sheet music stand,gp01,79519.0,142221.89
music,464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,guitar,aria01_214-1,860970.0,57745.73
music,464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,guitar,gp04,243187.0,377691.0
music,464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,aria01_214-1,937499.0,156516.12
music,464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04,51855.0,145804.67
music,989b038e-d46c-4433-b968-87b58a4c7037,piano,aria01_214-1,2484504.0,342779.55
music,989b038e-d46c-4433-b968-87b58a4c7037,piano,gp04,423591.0,422884.07
music,b0844d48-90da-4073-9e03-fb8aef700f40,sheet music,aria01_214-1,11324316.0,119699.89
music,b0844d48-90da-4073-9e03-fb8aef700f40,sheet music,gp03,48536.0,19730.62
music,b0844d48-90da-4073-9e03-fb8aef700f40,sheet music stand,gp03,44046.0,28590.28
music,b0844d48-90da-4073-9e03-fb8aef700f40,violin,gp01,953644.0,84272.77
music,b0844d48-90da-4073-9e03-fb8aef700f40,violin bow,gp03,185389.0,17758.72
music,bf74fe65-12af-4d4e-a7a6-7885c854ae49,sheet music,aria01_214-1,6165153.0,41924.72
music,bf74fe65-12af-4d4e-a7a6-7885c854ae49,sheet music,gp01,225127.0,290704.41
music,bf74fe65-12af-4d4e-a7a6-7885c854ae49,sheet music stand,gp01,127732.0,196206.38
music,bf74fe65-12af-4d4e-a7a6-7885c854ae49,violin,gp03,1176020.0,155907.86
music,bf74fe65-12af-4d4e-a7a6-7885c854ae49,violin bow,gp02,610363.0,23233.67
music,c47b2e19-8a8f-4594-9144-8b7be780ab74,guitar,gp01,1023856.0,247933.12
music,c47b2e19-8a8f-4594-9144-8b7be780ab74,sheet music,aria01_214-1,9804101.0,126333.89
music,c47b2e19-8a8f-4594-9144-8b7be780ab74,sheet music,gp04,14136.0,127335.64
music,c47b2e19-8a8f-4594-9144-8b7be780ab74,sheet music stand,gp03,23969.0,729039.89
music,d2218738-2af2-4585-bd1c-af8ad10d7827,guitar,aria01_214-1,4420638.0,53843.83
music,d2218738-2af2-4585-bd1c-af8ad10d7827,guitar,gp01,210400.0,179889.14
music,d2218738-2af2-4585-bd1c-af8ad10d7827,sheet music,aria01_214-1,2332214.0,152292.53
music,d2218738-2af2-4585-bd1c-af8ad10d7827,sheet music,gp04,27229.0,61444.11
music,d2218738-2af2-4585-bd1c-af8ad10d7827,sheet music stand,gp04,8681.0,85131.18
music,e3cb859e-73ca-4cef-8c08-296bafdb43cd,guitar,aria01_214-1,693428.0,54557.67
music,e3cb859e-73ca-4cef-8c08-296bafdb43cd,guitar,gp01,140594.0,173081.64
music,e3cb859e-73ca-4cef-8c08-296bafdb43cd,sheet music,aria01_214-1,822551.0,159017.29
music,e3cb859e-73ca-4cef-8c08-296bafdb43cd,sheet music,gp01,64502.0,262503.19
music,e3cb859e-73ca-4cef-8c08-296bafdb43cd,sheet music stand,gp01,20751.0,89652.67
